no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions,failure_score,has_result
3,1,61,2,1,18,80,18,11,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1029,2,1,0.38,1
1,3,164,15,0,18,65,-1,4,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,9,2,1,85.75,0
1,1,20,2,0,40,60,-1,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,2,1,95.99,0
1,5,71,2,1,21,75,17,1,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4977,2,1,0.37,1
10,2,293,2,1,18,80,0,2,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,5043,3,1,2.02,1
1,4,160,2,0,40,75,-1,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,290,2,1,96.8,0
1,1,100,4,0,40,60,-1,2,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,364,4,1,96.79,0
2,5,660,5,0,18,69,-1,7,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,4898,5,1,58.08,0
3,1,82,2,1,18,70,2,1,18,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,702,5,1,13.15,1
1,5,256,4,1,18,69,15,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,5490,4,1,0.13,1
1,1,240,6,1,18,65,12,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1420,3,1,2.22,1
21,2,200,2,0,30,95,-1,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,837,2,2,96.13,0
1,1,319,2,1,20,69,5,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3339,2,1,3.37,1
140,1,446,2,1,18,69,9,1,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2534,6,2,0.37,1
70,1,323,2,1,18,69,4,1,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1869,3,1,2.51,1
49,1,306,6,0,18,75,-1,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3576,6,1,92.09,0
92,1,319,2,1,18,49,8,1,13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2530,6,2,0.44,1
3,1,31,2,0,20,70,-1,1,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,849,2,1,95.7,0
93,1,272,1,0,18,70,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4718,1,1,91.94,0
1,1,222,2,1,18,65,0,3,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,4456,2,1,4.37,1
1,1,24,3,0,18,55,-1,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,500,2,1,98.03,0
1,1,380,2,1,18,69,10,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2941,4,1,1.09,1
1,2,245,2,0,18,69,-1,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,696,2,1,97.34,0
1,1,254,2,0,18,75,-1,1,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,635,2,1,96.87,0
1,1,83,3,1,30,80,2,1,7,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,3560,9,3,2.23,1
11,1,244,2,0,18,75,-1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,13,2,1,96.97,0
2,3,384,2,0,18,55,-1,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1022,8,1,98.33,0
123,1,464,2,1,18,130,9,1,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1572,2,1,1.42,1
1,1,24,3,1,20,64,0,2,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2613,2,1,19.09,1
93,1,593,7,0,18,75,-1,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1199,9,2,81.5,0
3,1,133,3,0,18,65,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1704,4,1,94.3,0
1,1,45,2,1,18,69,9,1,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2914,1,1,1.45,1
1,1,30,2,0,18,70,-1,1,3,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,305,2,1,96.3,0
1,2,13,2,0,40,65,-1,1,5,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,508,3,1,93.78,0
4,3,29,3,0,18,75,-1,1,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1707,1,1,97.27,0
25,2,368,2,1,18,80,11,1,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1148,2,1,1.88,1
1,2,59,2,1,35,75,8,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1796,2,1,31.6,1
1,1,33,2,0,18,75,-1,1,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1688,2,1,96.72,0
1,1,30,1,1,18,70,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2498,1,1,5.71,1
172,1,1066,6,1,18,69,28,1,7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3039,3,1,0.08,1
50,1,292,4,1,20,69,8,1,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2284,2,1,2.24,1
1,2,44,2,1,35,75,0,2,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1613,2,1,21.5,1
1,1,576,4,1,20,64,0,1,30,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,479,4,1,2.66,1
1,7,40,2,0,18,80,-1,1,21,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1389,1,1,93.95,0
49,1,374,5,1,20,69,8,2,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1526,6,1,1.24,1
1,2,39,2,1,18,60,8,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,3150,2,2,6.05,1
6,2,26,2,0,2,6,-1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1937,3,1,80.64,0
100,1,734,4,0,16,75,-1,1,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4675,4,1,85.88,0
1,1,96,2,0,35,75,-1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1040,2,1,97.12,0
53,1,304,5,1,18,70,0,1,11,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1782,5,1,5.76,1
1,1,440,2,0,18,80,-1,2,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4203,1,1,94.28,0
18,2,102,3,1,20,80,17,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1400,2,1,12.39,1
1,1,30,3,1,21,70,13,2,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2394,2,1,4.68,1
44,1,399,3,1,18,69,12,1,7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,833,2,1,1.66,1
1,1,42,1,1,18,79,2,3,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2120,2,1,3.84,1
18,2,317,1,1,2,80,6,1,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1056,1,1,1.72,1
1,1,30,3,1,18,69,3,2,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1323,1,1,13.84,1
2,2,90,2,0,40,75,-1,1,11,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2413,2,1,91.26,0
1,2,12,2,0,40,60,-1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,18,1,1,96.19,0
1,3,20,2,0,18,70,-1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,4,1,1,97.79,0
1,4,104,4,1,9,17,38,1,20,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,3377,2,1,0.04,1
1,1,16,2,0,20,75,-1,2,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,981,2,1,93.19,0
1,1,121,2,1,18,80,0,2,8,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1265,2,1,7.05,1
1,1,32,4,0,18,65,-1,1,3,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2539,4,1,93.35,0
1,1,220,2,0,50,75,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,5,2,2,98.18,0
3,1,100,1,0,20,74,-1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1461,1,1,94.17,0
1,1,28,2,0,40,59,-1,6,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1580,2,1,98.67,0
1,1,387,2,0,18,80,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1172,6,1,94.81,0
1,1,796,2,1,18,80,28,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3041,2,1,0.15,1
1,1,20,4,0,20,75,-1,1,8,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1549,3,1,95.86,0
1,1,35,2,0,18,69,-1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1324,2,1,94.12,0
1,1,14,2,0,18,64,-1,1,16,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,590,3,1,87.8,0
56,1,299,5,1,18,75,11,1,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1231,5,1,1.25,1
1,1,151,2,1,18,89,1,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1633,3,1,5.81,1
1,2,24,2,1,18,69,25,2,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2115,1,1,0.23,1
1,2,18,1,1,18,69,0,6,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1040,1,1,6.59,1
1,2,36,2,1,18,65,0,1,4,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1674,2,1,33.05,1
1,1,800,2,0,30,69,-1,1,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3079,1,1,89.56,0
1,2,21,2,0,18,99,-1,2,5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1841,3,1,93.85,0
190,2,1091,5,1,18,80,0,2,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3927,7,1,0.79,1
88,1,833,2,1,18,69,9,1,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1720,2,1,0.66,1
4,2,131,2,0,30,69,-1,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3363,3,1,92.45,0
1,1,100,2,1,30,80,11,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1713,1,1,2.52,1
2,1,38,2,0,20,90,-1,3,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1661,2,1,95.32,0
45,1,245,2,1,18,80,7,1,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1987,2,1,1.63,1
1,3,64,4,0,18,55,-1,1,24,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,575,4,1,94.03,0
1,1,25,2,0,18,45,-1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1982,2,1,96.05,0
1,10,90,3,0,20,70,-1,3,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,953,2,1,97.85,0
42,1,379,2,0,18,69,-1,1,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,4157,2,1,86.18,0
243,1,2705,13,1,18,69,39,2,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1260,30,1,0.0,1
23,1,99,6,0,18,75,-1,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3898,6,1,92.17,0
53,3,505,2,1,18,70,46,2,23,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2744,3,2,0.01,1
1,1,36,2,0,18,65,-1,1,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,5,2,1,97.41,0
45,2,272,2,1,18,69,14,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2013,2,1,0.6,1
1,2,45,2,0,20,70,-1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,92,1,1,99.44,0
159,1,465,2,1,18,75,15,1,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1069,4,2,0.36,1
