no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions,failure_score,has_result
9,1,40,2,0,30,80,-1,1,24,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,691,2,1,89.01,0
1,4,22,2,0,18,75,-1,2,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1471,2,2,97.14,0
1,1,48,6,0,18,45,-1,9,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,5,2,1,95.82,0
1,2,20,1,1,45,65,0,1,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,3927,1,1,13.51,1
12,1,151,2,1,18,70,13,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4206,2,1,0.97,1
1,1,207,2,0,18,69,-1,1,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2400,1,1,89.6,0
15,1,287,2,1,18,80,18,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2019,2,1,0.54,1
99,2,460,2,1,18,69,13,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2534,2,1,0.55,1
87,2,75,2,0,18,85,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,4447,2,1,92.51,0
62,1,496,4,0,18,70,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1315,2,1,95.8,0
3,2,91,2,0,20,80,-1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,98.08,0
975,1,7352,2,1,18,69,1,1,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2415,2,1,0.0,1
19,1,186,4,0,18,70,-1,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1641,2,1,94.64,0
1,1,80,2,0,18,80,-1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,8,2,1,97.88,0
1,1,12,3,0,20,75,-1,1,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,69,3,1,92.72,0
20,2,21,4,0,10,17,-1,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2745,4,1,94.82,0
1,1,352,2,0,18,79,-1,1,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1559,1,1,94.41,0
3,1,50,2,1,18,65,0,8,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2570,2,1,9.44,1
1,1,30,2,0,40,85,-1,1,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,751,2,1,95.92,0
4,3,226,2,0,20,80,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,2,1,97.37,0
9,1,130,2,1,18,70,8,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1699,2,1,7.43,1
1,1,20,1,0,18,55,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2931,1,1,96.68,0
1,1,218,4,0,18,75,-1,1,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2737,5,1,93.12,0
1,1,16,4,1,18,70,0,2,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1798,4,1,6.51,1
1,1,51,2,0,18,69,-1,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,2,1,97.58,0
1,1,99,1,0,18,69,-1,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,146,1,1,95.26,0
1,2,28,1,0,18,45,-1,6,11,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,211,4,1,95.0,0
1,2,216,2,0,20,79,-1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1064,2,1,95.37,0
1,1,214,4,0,18,70,-1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,606,4,1,97.92,0
1,1,130,2,0,18,65,-1,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2013,2,1,96.13,0
3,1,24,2,0,18,65,-1,1,9,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,345,3,1,96.35,0
2,1,107,2,0,40,65,-1,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,22,2,1,97.49,0
1,1,14,1,1,35,69,14,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,635,2,2,2.78,1
2,1,71,2,0,18,70,-1,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,505,2,1,92.6,0
1,1,9,2,0,21,65,-1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,309,1,1,96.63,0
1,1,30,3,1,20,70,0,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,645,3,1,14.26,1
56,1,442,2,1,18,69,15,1,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,861,2,1,0.46,1
1,1,98,8,0,18,75,-1,2,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,603,2,1,96.73,0
1,1,24,3,0,40,75,-1,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1257,3,1,96.37,0
1,1,290,5,0,18,64,-1,2,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1144,1,1,94.75,0
1,1,181,2,1,20,69,12,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,315,1,1,3.04,1
20,3,91,2,0,18,70,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1992,2,2,95.61,0
1,1,68,3,1,30,78,0,1,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2949,4,1,11.81,1
210,1,2274,2,1,18,69,0,1,24,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1505,3,1,0.48,1
1,2,42,2,1,18,70,0,1,6,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1583,2,1,11.06,1
21,1,638,2,1,18,75,18,1,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,3269,2,1,0.68,1
18,1,150,2,0,18,70,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,662,2,1,95.99,0
1,1,56,2,0,30,69,-1,10,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,95,1,1,96.61,0
1,1,163,1,0,40,65,-1,4,16,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,20,1,1,90.18,0
1,1,80,3,0,20,64,-1,2,9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,124,2,1,96.89,0
1,1,40,2,0,30,70,-1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1588,1,1,96.94,0
1,1,12,4,0,18,75,-1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,6421,4,1,79.81,0
61,1,367,3,0,18,75,-1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,758,3,1,96.37,0
25,1,678,3,1,18,80,4,1,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1035,5,1,3.13,1
1,2,45,2,1,18,69,0,1,3,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1435,2,1,12.02,1
1,1,24,4,1,18,55,0,4,7,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1894,3,1,8.25,1
181,1,1606,3,1,18,69,6,1,38,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1148,1,1,0.26,1
1,1,20,2,0,19,69,-1,2,8,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,6,2,1,98.14,0
7,2,80,2,1,18,75,0,3,6,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,991,2,1,5.78,1
209,2,1201,4,1,18,69,6,1,27,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1366,2,1,0.45,1
150,1,484,2,1,18,69,28,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2936,5,2,0.05,1
1,2,18,4,0,18,65,-1,4,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2153,6,4,71.24,0
1,1,90,3,0,35,70,-1,6,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,658,2,1,95.83,0
1,1,9,2,0,65,69,-1,1,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,8,1,1,94.27,0
14,1,125,2,1,19,75,12,2,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1426,2,1,0.78,1
1,1,6,1,1,18,65,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2198,1,1,22.38,1
199,1,894,3,1,18,69,7,2,13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1393,5,1,0.29,1
1,2,69,14,1,18,60,0,3,23,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,902,11,3,1.77,1
1,2,198,2,1,25,69,20,4,32,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,2713,1,1,0.47,1
1,1,103,2,0,21,70,-1,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3684,2,1,36.31,0
35,2,418,2,1,18,75,11,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1532,2,1,1.28,1
2,1,60,2,1,20,69,0,1,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2326,2,1,3.74,1
1,1,12,2,1,18,55,0,2,4,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2219,2,1,13.59,1
1,3,24,2,1,18,70,0,1,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,2479,4,3,12.74,1
92,2,166,2,1,18,69,18,1,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1462,3,1,0.35,1
30,4,103,4,1,18,65,6,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2250,1,1,11.47,1
1,1,80,6,0,18,70,-1,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,898,2,2,97.71,0
1,1,89,2,0,19,75,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3,1,1,97.34,0
25,1,206,2,1,18,69,5,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1302,3,1,2.29,1
4,1,50,7,0,18,65,-1,7,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,711,2,1,93.68,0
6,1,220,3,0,18,65,-1,18,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3104,3,1,85.7,0
2,2,67,4,0,20,65,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,416,3,1,96.38,0
1,2,39,6,0,18,70,-1,1,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1279,6,1,94.78,0
1,4,150,2,0,20,70,-1,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,140,2,1,93.9,0
27,1,403,2,1,18,69,9,1,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,836,2,1,1.65,1
2,1,162,4,0,18,64,-1,4,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,743,2,1,96.36,0
1,2,57,2,0,18,55,-1,1,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,4,2,2,94.2,0
1,1,35,2,0,18,65,-1,1,9,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1891,1,1,91.29,0
1,3,40,1,1,8,18,0,1,9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,828,1,1,10.34,1
2,1,42,2,0,18,65,-1,2,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,1,95.86,0
110,2,905,3,1,18,130,0,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,943,4,1,9.11,1
1,1,8,4,0,25,75,-1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1809,1,1,93.78,0
1,1,36,3,0,18,65,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,251,1,1,98.41,0
25,1,289,3,1,18,69,8,1,20,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3069,2,1,1.11,1
1,1,24,2,1,18,65,0,1,5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1561,3,1,13.56,1
67,1,917,4,1,18,69,11,1,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1182,2,1,0.75,1
120,1,560,2,1,18,65,12,1,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2744,2,1,0.38,1
1,1,150,2,0,40,89,-1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,510,1,1,97.4,0
1,3,88,2,1,22,65,20,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2475,2,2,0.63,1
1,1,86,1,1,18,69,41,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,3924,2,2,0.03,1
40,1,291,5,0,18,75,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4179,2,1,92.45,0
12,1,102,2,1,40,75,6,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,4357,4,1,5.95,1
1,1,30,2,0,18,80,-1,1,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,285,2,1,97.23,0
1,1,15,1,0,30,65,-1,8,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1519,2,1,95.69,0
